apparel_id,type,nickname,pokeca_url,brand
806644,BOX,メガブレイブBOX「アビスアイ」,,pokeca
618447,CARD,フクオカのピカチュウ [SV-P 289],https://grading.pokeca-chart.com/289-sv-p/,pokeca
618446,CARD,ヒロシマのピカチュウ [SV-P 261],https://grading.pokeca-chart.com/261-sv-p/,pokeca
671486,CARD,マクドナルド ピカチュウ [M-P 020],https://grading.pokeca-chart.com/020-m-p/,pokeca
128089,CARD,ピカチュウAR [SV2a 173/165],https://grading.pokeca-chart.com/sv2a-173-165/,pokeca
737036,CARD,ピカチュウex SAR [MC 764/742],https://grading.pokeca-chart.com/mc-764-742/,pokeca
618445,CARD,トウホクのピカチュウ [SV-P 260],https://grading.pokeca-chart.com/260-sv-p/,pokeca
104784,CARD,ピカチュウ プロモ [001/SV-P],https://grading.pokeca-chart.com/001-sv-p/,pokeca
93015,CARD,お誕生日ピカチュウ [S8a-P 007/025],https://grading.pokeca-chart.com/s8a-007-025/,pokeca
730956,CARD,ピカチュウex SAR [M2a 234/193],https://grading.pokeca-chart.com/m2a-234-193/,pokeca
96667,CARD,ピカチュウCHR [S10a 073/071],https://grading.pokeca-chart.com/s10a-073-071/,pokeca
115274,CARD,ピカチュウ [CLL 008/032],https://grading.pokeca-chart.com/cll-008-032/,pokeca
128147,CARD,マスボピカチュウ [SV2a 025/165],https://grading.pokeca-chart.com/sv2a-025-165/,pokeca
91155,CARD,ピカチュウV ゴールデンBOX [S8a-G 001/015],https://grading.pokeca-chart.com/s8a-g-001-015/,pokeca
396334,CARD,ピカチュウ&ゼクロムGX [SM9 031/095],,pokeca
141411,CARD,ピカチュウ ミラー [s8a 001/028],,pokeca
141410,CARD,ピカチュウ [s8a 001/028],,pokeca
705192,CARD,ピカチュウ プロモ [SV-P 291],,pokeca
146897,CARD,ピカチュウ [SVP EN 085],https://grading.pokeca-chart.com/svp-en-085/,pokeca
91118,CARD,ピカチュウ プロモ [S-P 227],https://grading.pokeca-chart.com/227-s-p/,pokeca
135232,CARD,名探偵ピカチュウ [SV-P 098],https://grading.pokeca-chart.com/098-sv-p/,pokeca
106796,CARD,ピカチュウ プロモ [S-P 208],https://grading.pokeca-chart.com/208-s-p/,pokeca
131236,CARD,ピカチュウex [WCS23 001/030],https://grading.pokeca-chart.com/wcs23-001-030/,pokeca
107447,CARD,レッドのピカチュウ [SM-P 270],https://grading.pokeca-chart.com/270-sm-p/,pokeca
105553,CARD,ピカチュウAR [s12a 205/172],https://grading.pokeca-chart.com/s12a-205-172/,pokeca
408333,CARD,ピカチュウex SAR [SV8 132/106],https://grading.pokeca-chart.com/sv8-132-106/,pokeca
93060,CARD,ピカチュウ プロモ [SM-P 400],https://grading.pokeca-chart.com/400-sm-p/,pokeca
134393,CARD,ピカチュウ プロモ [SV-P 120],,pokeca
91113,CARD,カナザワのピカチュウ プロモ,,pokeca
156179,CARD,ピカチュウ 旧裏 [PMCG1-2],,pokeca
328774,CARD,ピカチュウVMAX プロモ [S-P 265],,pokeca
332798,CARD,ピカチュウ プロモ [SV-P 218],,pokeca
91290,CARD,ピカチュウ&ゼクロムGX SA [SM9 101/095],https://grading.pokeca-chart.com/sm9-101-095/,pokeca
93381,CARD,ピカチュウ セブンイレブン [S-P 001],https://grading.pokeca-chart.com/001-s-p/,pokeca
127809,CARD,モンスターボールミラー ピカチュウ [SV2a 025/165],https://grading.pokeca-chart.com/sv2a-025-165/,pokeca
